13º salário;Christmas bonus
razão geral;general ledger
razão social;company name, corporate name
razão subsidiário, razão auxiliar;auxiliary ledger, subsidiary ledger
razonete;trial ledger
reabrir (registros contábeis);reopen (accounting books)
reajuste;readjustment
real;actual
Real, Reais;Brazilian Real, Brazilian Reais
realçar;point out, highlight, emphasize
realce;"relief; highlight"
realização;realization
realização a menor;underrealization
realizar;accomplish
realocar;reallocate
reapresentação;re-presentation
reassegurar;reassure
reassumir;resume (payments, etc.)
reavaliar;revalue
reaver;recover
rebaixa;buy-down
rebocar;tow
recalcular, recomputar;recompute
recebedor da transferência;transferee
recebimento;receipt
recebimentos atrasados;delayed collections
receita;revenue, income
receita auferida;earned income
Receita Federal;Federal Revenue Service
receita líquida de serviços;net services revenue
"recolocação interna (de profissional dentro da empresa; oposto de ""outplacement"")";inplacement
recurso ordinário;ordinary appeal
redistribuir;redistribute
redução;decrease, reduction
redução de capital;capital reduction
redução de custos;cost saving, cost reduction, cost cutting
redução de imposto;tax abatement
redução de pessoal;staff reduction
redução de tamanho;downsizing
redução de valor (nos livros);write down
redução deliberada de preços;undercut, price reduction
redundância;redundancy
reduzir progressivamente até terminar, reduzir progressivamente até fechar;phase out
reembolsar;repay
reembolso;reimbursement, refund
reembolso de imposto;tax refund, tax rebate
reemitir;reissue
reengenharia;reengineering
reengenharia de processos;reengineering
reescalonamento da dívida;debt rescheduling
reestruturação acionária;shareholding restructuring services
reestruturação de dívida problemática;troubled debt restructuring
reestruturação societária;corporate restructuring services
refazer o trabalho;rework
referência cruzada;cross reference
referências do emprego anterior;former employment references
referências pessoais;personal references
refinanciamento;refinancing
reflexos na contabilidade (registro e divulgação) de assuntos do meio ambiente;environmental accounting
reflorestamento;reforestation
reforçar;reinforce
reforma econômica;economic reform
reformulação de demonstrações financeiras;restatement of financial statements
refúgio, abrigo, paraíso fiscal;tax haven, tax shelter
refugo;spoilage, waste, scrap, junk, spoilage
regime de caixa;cash basis
regime de competência;accrual basis (of accounting)
regime financeiro de capitalização (pensões);reserve for future obligations (pension)
registrador de tempo (de trabalho);time recorder
registrar;record
registrar contabilmente;account for
registrar-se;enroll
registro;record, enrollment
registro civil de pessoas jurídicas;registry of legal entities
registro de ações;stock register (USA), share register (UK)
registro de caixa;cash register
registro de contas a pagar;voucher register
registro de corretores de seguros;registration of insurance brokers
registro de estoques;stock record (UK)
Registro de Exportação - RE;Export Registration
registro de faturas;invoice register
registro de imóveis;real estate registry
registro de tempo de máquina;machine time record
registro de títulos e documentos;registry of deeds and documents
registro de trabalho efetuado;record of work done
registro de vendas;sales journal
registro geral de apólices;general policies register
registros auxiliares à contabilidade;subsidiary records, detailed records
registros auxiliares do ativo imobilizado;property records
registros e documentos contábeis;accounting records
registros informais, registros paralelos;out-of-book records
registros permanentes;permanent records
registros permanentes de estoques;perpetual inventory records
regra;rule, norm
reguladores externos;outside adjusters
regulamentação;regulation
regulamentação sobre capital realizado;regulation of capital capacity
Regulamento do ICMS - RICMS;ICMS Rules
regulamentos fiscais;tax regulations
reinstalar;reinstate
reintegração ao emprego;job reintegration
reintegrar;reinstate
reintegrar na posse;repossess
reinvestimento de lucros e reservas;reinvestment of profits and reserves
Relação Annual de Informações e Salários (Empregados) - RAIS;Annual Listing of Information and Salaries (Employees)
relação custo-volume-lucro;cost-volume-profit relationship
relação de capital-trabalho;capital-labor ratio
relação de compras;shopping list
relação de custo-benefício;cost-benefit ratio
relação de preço-desempenho;price-performance ratio
relacionamento;relationship
relações comerciais;business relations
relações externas;external relations
relações humanas;human relations
relações industriais;industrial relations
relações interpessoais;interpersonal relations
relações públicas;public relations
relações trabalhistas;labor relations
relatar;describe
relatório;report
relatório anual;annual report
relatório da diretoria;directors' report
relatório das operações;operating statement
relatório de auditor independente;"report of independent accountant; auditor's report"
relatório de auditores;auditors' report
relatório de caixa;cahs statement
relatório de compilação;compilation report
relatório de crédito;credit report
relatório de custeio;cost statement
relatório de desempenho ambiental;environmental performance report
relatório de exceções, relatório de erros;exception report
relatório de operações da administração;management operations report
relatório em forma curta;short-form report
relatório em forma longa;long-form report
relatório financeiro;financial report
relatório intercalar;interim report
relatório sucinto de estimativas de resultados;flash reports
relatórios financeiros, relatórios contábeis;financial reporting
relatórios gerenciais;management reports
relatórios para fins especiais;special purpose reports
relevância, relevante;materiality, material
remanejamento;relocation
remarcação para mais;mark up
remarcação para menos;mark down
remensuração;remeasurement
remessa;remittance
remessa de lucros;profit remittance
remessa futura;future remittance
remoto;remote
remover;remove
remuneração;remuneration
remuneração a empregados;compensation to employees
remuneração do executivo;executive compensation
remuneração por assistência técnica;technical assistance fees
remuneração por serviços prestados;compensation for services rendered
renda;income
renda (pensões);monthly payments to the plan (pension)
renda ajustável;adjustable income
renda bruta;gross income
renda disponível;disposable income
renda líquida;net income
renda nacional;national income
renda per capita;income per head
renda pessoal;personal income
renda proveniente de investimentos;investment income
renda tributável;taxable income
renda variável;variable income
rendas a apropriar (em bancos);unearned discount (in banks)
render;yield
render juros;bear interest
rendimento;yield, throughput
rendimento líquido;net yield
rendimentos e desembolsos;income and spendings
renegociação;renegotiation
renomado;well known
renovação;renewal
rentabilidade;profitability
rentabilidade sobre o patrimônio;return o equity
rentabilidade, lucratividade;rentability
renumeração;renumbering, renumeration
renunciar;resign
reorganização;reorganization
reorganização empresarial;corporate reorganization
repactuação;repricing
reparação ou reposição;repair or replacement
reparos e manutenção;repairs and maintenance
repasse de empréstimo;onlending
repatriamento de capital;capital repatriation
réplica;reply
repor;replace
reposição;replacement
repouso semanal remunerado;remunerated weekly rest
represália;retaliation
representação dos trabalhadores;workers' representation
representações;representantions
representante;representative
representante sindical;shop steward
reprogramar;reschedule
requerente;claimant
requerido;defendant
requerimento;petition, requirement
requisição;requisition
requisição de compra;purchase requisition
requisição de material;material requisition
rescindir;rescind
rescisão;rescission
rescisão de contrato;rescission of contract, annulment of contract
reserva;reserve
reserva de capital;capital reserve
reserva de incentivo fiscal;fiscal incentive reserve
reserva de lucros a realizar;realizable profits reserve
reserva de reavaliação;revaluation reserve
reserva de serguros vencidos;reserve for expired insurance
reserva de sinistros a liquidar;reserve for unsettled claims
reserva de sinistros avisados a liquidar;reserve for unsettled claims
reserva ecológica;ecological reserve
reserva estatutária;reserve required by the company's statutes
reserva geral;general reserve
reserva legal;statutory reserve
reserva livre;free reserve
reserva matemática;mathematical reserve
reserva matemática de benefícios concedidos (pensões);reserve for the payment of coverages (pension)
reserva matemática global;global mathematical reserve
reserva matemática individual;individual mathematical reserve
reserva oculta;hidden reserve
reserva para aposentadoria e pensão;pension reserve
reserva para contingências;contingency reserve
reserva para equalização;equalization reserve
reserva para manutenção;maintenance reserve
reserva para obsolescência;obsolescence reserve
reserva para prêmios não ganhos, reserva para prêmios não auferidos;unearned premiums reserve
reservar;set aside
reservas bancárias;banking reserves
reservas de lucros;revenue reserves
reservas de ouro;gold reserves
reservas de riscos não expirados;reserve for unexpired risks
reservas florestais;timber tracts
reservas técnicas;technical reserves
reservas técnicas - variações;net adjustments in technical reserves
resgatável;redeemable
resgate;redemption
resgate de ações;stock redemption (USA), share redemption B4235(UK)
resgate de partes beneficiárias;founders' share redemption
respeitável;reputable
responsabilidade;responsibility
responsabilidade civil;comprehensive general liability
responsabilidade civil facultativa;optional third party liability
responsabilidade conjunta;joint responsibility
responsabilidade contratual;contractual liability
responsabilidade direta;direct liability
responsabilidade funcional;functional responsibility
responsabilidade ilimitada, irrestrita;unlimited liability
responsabilidade indireta;indirect liability
responsabilidade limitada;limited liability
responsabilidade máxima;maximum liability
responsabilidade por prestar contas;accountability
responsabilidade pública;public liability
resposta retardada;lag response
respostas evasivas;evasive responses
ressalva, exceção;qualification, exception
ressalva, fazer;take exception
ressarcimento;loss reimbursement
ressarcimento de prejuízos ou danos;loss compensation
ressegurado;reinsured
ressegurador;reinsurer
ressegurar;reinsure
resseguro;reinsurance
resseguro aceito;reinsurance accepted
resseguro automático;automatic reinsurance
resseguro cedido;reinsurance assigned, reinsurance ceded
resseguro colocado;reinsurance placed
resseguro de cota;quota reinsurance
resseguro de excedente de responsabilidade;excess of loss reinsurance
resseguro de excesso de danos;surplus reinsurance
resseguro de excesso de danos ou catástrofes;surplus or catastrophe reinsurance
resseguro do excedente da responsabilidade civil;reinsurance of excess liability
resseguro não proporcional;nonproportional reinsurance
resseguro obrigatório;compulsory (by law) reinsurance
resseguro proporcional;proportional reinsurance
restituição de prêmio;premium reimbursement
restrição de dividendos;dividend restriction
restrições a importações;import restrictions
restrições comerciais;trade restrictions
resultado;"income; results; outcome"
resultado de exercícios futuros;deferred income
resultado líquido;net income
resultado operacional;operating income
resumo;résumé, summary
resumo de distribuição da folha de pagamento;payroll summary
resumo dos estoques;inventory summary
retaliação;retaliation
retenção;retention
retenção de comissões sobre prêmios de seguros vultosos;commissions retained on significant operations
retenção de prêmios e provisões técnicas;retention of premiums and technical reserves
retenção de risco;risk retention
retenções para riscos;retentions for risk
retenções por perdas futuras;retentions against possible losses
retificar;rectify
retirada;withdrawal, drawing
retirada do trabalho, renúncia ao trabalho;withdrawal from the engagement
retiradas em dinheiro ou mercadoria;drawings
retiradas pessoais;presonal drawings
retomar;resume (payments, etc.)
retorno;return
retorno baixo;low return
retorno esperado;expected return
retorno resultante de investimento, economia resultante de investimento;pay back
retorno sem risco;risk-free return
retorno sobre ativos do plano (pensões);return on plan assets (pension)
retorno sobre o investimento;Return On Investment - ROI
retrabalho ao final;back-end rework
retrocedente;retrocedent
retrocessão;retrocession
retrocessionário;retrocessionnaire
réu;defendant
reunião;meeting
revelações;findings
revenda;resale
revendedor;dealership
revender;resell
revisão;review
revisão analítica;analytical review
revisão de controle de qualidade;quality control review
revisão de crédito;credit review
revisão final do trabalho;back-end review
revisão inicial;front-end review
revisão limitada;limited review
revisão pela administração;management review
revisão por entrevista;review by interview
revisão sumária;desk review
revisão trimestral;quarterly review
"revogação (s); revogar (v)";repeal (n) (v)
revogação de beneficiário;removal of beneficiary
revogar;revoke
revogável;revocable
risco;risk
risco administrativo;management risk
risco admissível;allowable risk
risco cambial;exchange risk
risco catastrófico;catastrophic risk
risco coberto por seguro;insured risk
risco comercial;commercial risk
risco de aceitação incorreta;risk of incorrect acceptance
risco de amostragem;sampling risk
risco de auditoria;audit risk
risco de base ou de correlação;basis or correlation risk
risco de benfeitorias;improvements coverage
risco de controle;control risk
risco de convexidade (ou gama);convexity (or gamma) risk
risco de crédito;credit risk
risco de decadência (ou teta);time decay (or theta) risk
risco de detecção;detection risk
risco de garantia;collateral risk
risco de investimento e de provimento de recursos;investing and funding risk
risco de liquidação;settlement risk
risco de mensuração de crédito;credit measurement risk
risco de mercado;market risk
risco de preço absoluto ou de taxa (ou delta);absolute price or rate (or delta) risk
risco de rejeição incorreta;risk of incorrect rejection
risco de soberania;sovereign risk
risco de subavaliação de confiança;risk of under reliance
risco de superavaliação da confiança;risk of over reliance
risco de taxa de desconto (ou ro);discount rate (or rho) risk
risco de vendaval;windstorm hazard risk
risco de volatibilidade (ou vega);volatility (or vega) risk
risco direto;direct risk
risco expirado;expired risk
risco fora do padrão;substandard risk
risco impossível;impossible risk
risco indireto;indirect risk
risco legal;legal risk
risco limitado;limited risk
risco não coberto por seguro;uninsured risk
risco operacional;operational risk
risco profissional;professional exposure risk
risco profissional;professional risk
riscos contratados;risks underwritten
riscos de petróleo;oil risks
riscos de viagens;travel insurance risks
riscos decorridos;incurred risks
riscos diversos;sundry risks
riscos inerentes;inherent risks
riscos internacionais;cross-border risks
riscos não decorridos;unincurred risks
riscos não expirados;unexpired risks
riscos nucleares;nuclear risks
riscos relacionados com controles;controle risks
robótica;robotics
rodada;round
rodízio;rotation
rolagem (dívida);roll-over
romaneio de embarque;"dispatch note; manifest"
rotação de ênfase;rotation of emphasis
rotatividade de estoques, rotação de estoques;inventory turnover
rotatividade de mão-de-obra;labor turnover
rotatividade do estoque de matérias-primas;turnover of raw material inventory
rotatividade do estoque de produtos acabados;turnover of finished goods inventory
rotatividade do estoque de produtos em processo;turnover of work-in-process inventory
rótulo;label
roubo;robbery, theft
rubrica;heading
"rubrica (s); rubricar (v)";initial (n) (v)
ruína;wreck
sacado;drawee
sacador;drawer
saída;outflow, exit, way out
saída de caixa;"cash outflow; disbursement; outgoing"
saída de capital;capital outflow
sala da diretoria;board room
sala de expedição;mailing room
sala de exposição;showroom
salário;salary, wage
salário de benefício;benefit wage
salário de contribuição;salary base
salário in natura;salary in kind
salário líquido do empregado;take home pay
salário mínimo;minimum salary
salário nominal;nominal wage
salário-família;family allowance
salários a pagar;accrued payroll
salário-tarefa;piece rate
saldado;paid-in
saldo;balance
saldo a pagar, saldo não pago;unpaid balance
saldo bancário;bank balance
saldo credor;credit balance
saldo de abertura, saldo inicial;opening balance
saldo de caixa;cash balance
saldo de conta;account balance
saldo de salário;salary balance
saldo devedor;debit balance
saldo devedor;debit balance
saldo em conta corrente;balance on current account
saldo final;closing balance
saldo médio;average balance
saldo negativo;negative balance
saldo vinculado;"restricted balance; compensating balance"
saldos compensatórios;contra balances
saldos credores de clientes;customers' credit balances
saldos não reclamados;unclaimed balances
salientar;point out
salvados;salvage
salvados (de incêndio, de naufrágio);salvage
salvados e ressarcimentos;salvage and recovery
salvaguarda;safeguard
sanção;sanction
saque;draft
saque a descoberto;overdraft
saque a vista;"demand draft; sight draft"
saque de exportação;export draft
saque parcelado;draw down
satisfação;satisfaction
satisfação global de auditoria;aggregate audit satisfaction
satisfação no trabalho;job satisfaction
saturação do mercado;market saturation
saúde;health
saúde ocupacional;occupational health
seção/secional;section/sectional
Secretaria da Administração Federal - SAF;Federal Administration Secretariat
Secretaria da Ciência e Tecnologia - SCT;Science and Technology Secretariat
Secretaria da Cultura da Presidência da República - SEC;Presidents' Cultural Secretariat
Secretaria do Comércio Exterior - SCE;Foreign Trade Secretariat
Secretaria do Desempenho Regional - SDR;Regional Development Secretariat
Secretaria do Direito Econômico - SDE;Economic Law Department
Secretaria do Planejamento - SEPLAN;Planning Secretariat
Secretaria Especial de Controle das Estatais - SEST;Special Secretariat for Control of State-Owned Companies
Secretaria Especial do Meio Ambiente - SEMA;Special Environment Secretariat
Secretaria Nacional da Economia - SNE;National Economy Secretariat
Secretaria Nacional de Defesa Econômica - SNDE;National Economic Defense Department
Secretário da Fazenda Nacional - SFN;National Finance Secretary
securitização;securitization
securitização de recebíveis;securitized receivables
sede (de empresa);head office, home office, headquarters
"sediado em x; sediar";x-based
segmentação de mercado;market segmentation
segmento da indústria, segmento do setor de atividades;industry segment
segmento do negócio;business segment
segregação de funções;segregation of duties
segregação parcial de sociedade;spin-off
seguindo a curva de rendimento;riding the yield curve
seguir o curso de uma transação;trace
segunda mão;secondhand
segundos seguros;second insurance (same as first but different insurer)
segurado;insured
segurador(a);"insurer; holder"
seguradora;insurance company
seguradora cativa;captive insurance company
seguradora líder;lead insurer
segurados;"policyholders; policyowners"
segurança;assurance
segurança negativa;negative assurance
segurança razoável;reasonable assurance
segurar;underwrite
seguro;insurance
seguro a prazo curto;short-term insurance
seguro a termo fixo;fixed-term insurance
seguro ajustável;adjustable insurance
seguro coletivo;collective coverage
seguro coletivo de acidentes pessoais;collective personal accident insurance
seguro com pagamentos mensais do prêmio;insurance with monthly premium payments
seguro com participação nos lucros;participating insurance
seguro compreensivo patrimonial;comprehensive property insurance
seguro comum;ordinary insurance
seguro contra acidentes;casualty insurance, accident insurance
seguro contra acidentes (bens - desabamento, incêndio, etc.);hazard insurance
seguro contra acidentes pessoais;personal accident insurance
seguro contra alagamento;flooding insurance
"seguro contra danos de ""sprinklers""";sprinkler damage insurance
seguro contra incêndio;fire insurance
seguro contra roubo;burglary insurance
seguro da privação do uso e gozo;use & occupancy insurance
seguro de acidentes do trabalho;workers' compensation insurance
seguro de anuidade;annuity insurance
seguro de automóveis;automobile insurance, vehicle insurance
seguro de benfeitorias;improvements coverage
seguro de carga;cargo insurance
seguro de cascos;hull insurance
seguro de colisão;collision insurance
seguro de crédito à exportação;export credit insurance
seguro de crédito hipotecário;mortgage insurance
seguro de crédito imobiliário;realty credit insurance
seguro de danos;property damage insurance
seguro de danos pessoais;personal injury insurance
seguro de desmoronamento;collapse coverage
seguro de despesas médicas;medical expenses insurance
seguro de embarcações;hull insurance
seguro de Estado;State insurance
seguro de fidelidade;fidelity insurance
seguro de furto;theft insurance
seguro de incapacidade;disability insurance
seguro de indenização a trabalhador;workers' compensation insurance
seguro de indenização profissional;professional indemnity insurance
seguro de internação hospitalar;hospital insurance
seguro de invalidez;disability insurance
seguro de lucros cessantes;loss of income insurance, loss of use insurance, loss of profit insurance
seguro de lucros cessantes e de despesas gerais;loss of income insurance, loss of use insurance
seguro de multirrisco;multiperils insurance
seguro de navegação fluvial;inland marine insurance
seguro de paralisação dos negócios;business interruption insurance
seguro de perigo específico;specified peril insurance
seguro de pessoas;personal lines of business
seguro de renda;income insurance
seguro de responsabilidade civil;"comprehensive general liability insurance; civil liability insurance"
seguro de responsabilidade empresarial;business liability insurance
seguro de responsabilidade pessoal;personal liability insurance
seguro de responsabilidade por erros ou omissões;errors and omissions liability insurance
seguro de responsabilidade profissional;professional liability insurance
seguro de risco finito;finite risk insurance
seguro de riscos em locais múltiplos;multiple location insurance
seguro de roubo;theft insurance
seguro de saúde;health insurance
seguro de transporte de carga aérea;air cargo insurance
seguro de transporte fluvial;inland marine insurance
seguro de vida a termo, contrato de vida a termo (por período específico);term-life insurance, term-life contract
seguro de vida a termo, contrato de vida a termo (por período específico);life insurance
seguro de vida com rendimentos periódicos;life annuity
seguro de vida comum;ordinary life insurance
seguro de vida e de saúde;life and health insurance
seguro de vida em grupo;group life insurance
seguro de vida individual;individual life insurance
seguro de vida inteira;whole life insurance
seguro de vida misto;mixed life insurance
seguro de vida simples;straight life contract
seguro de vida universal;universal life insurance
seguro de vidas de terceiros;third party life insurance
seguro desemprego;unemployment compensation
seguro do caminhoneiro;trucker's insurance
seguro em grupo;group insurance
seguro empresarial;business insurance
seguro familiar;family insurance
seguro geral;general insurance
seguro global;blanket insurance
seguro habitacional;home owner insurance
seguro marítimo;marine insurance
seguro pago ou com o prazo aumentado;paid-up or extended term insurance
seguro plurianual;multiannual policy
seguro residencial;home owner insurance
seguro rural;rural insurance
seguro social;social insurance
seguro total;comprehensive insurance
seguro varejo;retail insurance
seguro-fidelidade;fidelity insurance
seguro-inundação;flood insurance
seguro-lojista;retail insurance
seguro-maternidade;maternity insurance
seguros de incapacidade (cobre o montante não coberto pelo seguro de acidentes do trabalho);workers' compensation
seguros de ramos elementares e de responsabilidade civil;property and liability insurance
seguros dotais;endowments insurance
seleção;selection
sem cupom;ex-coupon
sem direitos;ex-rights
sem dividendo;ex-dividend
sem juros;interest free
sem licença;unlicensed
sem valor;worthless
semanalmente;weekly
semear;sow
semestral;semiannual, twice yearly
semestre;half year, semester
semi-annual;semiannual, twice yearly
semimensal;semimonthly, twice a month
semiprocessado;semiprocessed
semoventes;livestock
senado;senate
sênior de auditoria;audit senior
separar;"separate; set aside"
serviço ao cliente;customer service
serviço de compilação;compilation engagement
Serviço de Proteção ao Crédito - SPC;Credit Protection Service - SPC
serviço de terceiro;third-party service
Serviço Federal de Processamento de Dados - SERPRO;Federal Data Processing Service
Serviço Nacional de Aprendizagem Comercial - SENAC;National Service for Commercial Training
Serviço Nacional de Aprendizagem Industrial - SENAI;National Service for Industrial Training
Serviço Nacional de Aprendizagem Rural - SENAR;National Service for Rural Training
serviço prestado;service rendered
Serviço Social da Indústria - SESI;Social Service for Industry
Serviço Social do Comércio - SESC;Social Service for Trade
serviços correlatos;related services
serviços de administração e guarda de patrimônios e outro (serviços em confiança);fiduciary services
serviços de assessoramento;advisory services
serviços de consultoria empresarial;corporate advisory services
serviços de crédito;credit facilities
serviços de custódia;custodial services
serviços de relevo em cartões (em cartões de crédito, por exemplo);card-embossing services
serviços logísticos;extension services
serviços outros que não de auditoria;non-audit services
serviços pós-vendas;after sales services
serviços prestados;services rendered
serviços públicos;public services
sessões para instruções;briefing sessions
setor (atividade) de seguros;insurance industry
setor de serviços;services sector
setor industrial;industrial sector
setor privado;private sector
setor público;public sector
setores de atividades regidas por normas governamentais (reguladas/regulamentadas);regulated industries
sigilo profissional;professional secrecy
significante;significant
significar;mean
silvicultura;forestry
símbolo;symbol
simplificação do trabalho;work simplification
simulação;simulation
simulador;simulator
simular;simulate
sinal (entrada) referente ao prêmio;deposit premium
sinal negativo;minus sign, negative indication
sinal, pagamento inicial, entrada;down payment
sindicato;union
sindicato de classe operária;trade union
sindicato de trabalhadores;labor union
sindicato patronal, sindicato de empregadores;trade association
sinergia;synergy
singular;unique
sinistro;claim, casualty, loss, damage
sinistro ocorrido mas não avisado;incurred but not reported - IBNR
sinistro regulado;claim adjusted
sinistros a liquidar;unsettled loss claims
sinistros encerrados;closed claims
sinistros incorridos;claims incurred, losses incurred
sinistros indenizados;claims settled
sinistros ocorridos;losses occurred
sinistros ocorridos e não avisados;claims incurred but not reported
sintonia;dial
sistema bancário;banking system
sistema contábil;accounting system
sistema de administração de riscos;risk management system
sistema de controle interno;internal control system
sistema de custo integrado;integrated cost system
sistema de custo marginal;marginal costing system
sistema de custos;cost system
sistema de elaboração de orçamentos de base-zero;zero-basis budgeting
sistema de fundo fixo de caixa;imprest system
Sistema de Informações do Banco Central do Brasil - SISBACEN;Brazilian Central Bank Information System
sistema de informações gerenciais, sistema de informações da administração;management information system
sistema de remuneração, sistema de compensação;reward system
Sistema Especial de Liquidação e Custódia - SELIC;Special system for settlement and custody
Sistema Financeiro de Habitação - SFH;National Housing System - SFH
sistema gerencial do meio ambiente;environmental management system
Sistema Integrado de Comércio Exterior - SISCOMEX;Integrated Foreign Trade System
sistema integrado de gestão;integrated management system
Sistema Integrado de Pagamento de Impostos e Contribuições das Microempresas e das Emrpesas de Pequeno Porte - SIMPLES;Unified System for the Payment of Taxes and Contributions by Small Businesses - SIMPLES
sistema métrico;metric system
Sistema Nacional de Defesa do Consumidor - SNDC;National System for Consumer Defense
Sistema Nacional de Previdência Social - SNPS;National Social Security System
sistemas de liquidação;settlement services
sistemas de reserva de numerário;cash reserve systems
sistemas de retrocessões;systems of retrocession
situação de trabalho;work status, job status, project status
situação de vencidos (a receber);past-due status
situação financeira;financial condition
sobras;scrap, garbage
sobrecapitalizado;overcapitalized
sobrecarga;overload
sobrecarregado de trablaho;overworked
sobreestimar;overrate
sobrepreço (EUA);overpricing (USA)
sobre-seguro;overinsurance
sobretaxa;surtax
sociedade;corporation, enterprise
sociedade (de pessoas);partnership
sociedade afluente;affluent society
sociedade anônima;limited liability corporation
Sociedade Anônima - S.A.;limited liability corporation
sociedade beneficente, caridade;charity
sociedade de crédito imobiliário;"savings and loan association (USA); building society"
sociedade de participação;holding company, investment company
sociedade de profissionais;professional partnership
sociedade de responsabilidade limitada;"limited liability company; limited partnership"
sociedade em comandita;partnership in which the managing partners have unlimited liability and the others have liability limited to subscribed capital
sociedade em conta de participação;partnership in which some partners are passive
sociedade por ações;corporation, joint-stock company
sociedades de capitalação;capitalization companies
sociedades mútuas;mutual insurance companies
sociedado comercial;commercial partnership
societário;corporate
sócio oculto;hidder partner
sócio ostensivo;ostensible partner
sócio principal;senior partner
sócio responsável pela auditoria;audit partner
solicitação de empréstimo;loan application
solicitação de patente;patent application
solicitar pagamento;claim payment
sólido;solid, sound
solvência;solvency
"soma (s) (colunas ou cifras); somar (v) (colunas ou cifras)";foot, add, cast (n) (v)
sonegação de imposto;tax evasion
sorte;hazard, luck
stop-loss;stop-loss reinsurance
"subarrendamento (s); subarrendar (v)";sublease (n) (v)
subavaliar;undervalue, understate
subcontratar;subcontract
subdesenvolvimento;underdevelopment
subempreiteiro;subcontractor
subentendido;implied
subestimar;underestimate
subfaturar;underinvoice
"subida (s); subir (v)";rise (n) (v)
sublinhar;underline
sublocar;sublet
subordinado;ancillary
"suborno (n); subornar (v)";bribe (n) (v)
subparágrafo;subparagraph
subpreço (EUA);underpricing (USA)
sub-rogação;subrogation
subscrever ações;take up equities
subscrição (de ações);subscription
subscritor de títulos mobiliários;underwriter
subscritor em atraso;defaulting subscriber
subsidiária;subsidiary
subsidiária em que há participação majoritária;majority-owned subsidiary
subsidiária integral;wholly-owned subsidiary
subsidiária não consolidada;unconsolidated subsidiary
subsidiária não integral;partly owned subsidiary
subsidiárias incluídas na consolidação, subsidiárias consolidadas;consolidated subsidiaries
subsídio, subvenção;subsidy, grant
substância química;chemical substance
substância, essência;substance
substancial;substantial
substituição para melhor;upgrade
substituição para pior;downgrade
substituir;substitute, supersede, replace
substituto do titular;deputy
subtrair;subtract
subvenção de capital;capital subsidy
subvenção de custeio;cost subsidy
subvenção de investimento;investment subsidy
"sucata (s); sucatear (v)";scrap (n) (v)
sucesso imprevisto;fortune, uncertain, unpredictable
sucursal;branch
sujeito a resgate (papel/instrumento financeiro);callable
sumário;summary, résumé
superavaliar;overvalue
superávit;superavit
superávit contribuído por acionistas;paid-in surplus
superávit de um fundo;fund surplus
superávit disponível para distribuição;unrestricted surplus
superávit não distribuído (acumulado);surplus
superestimar;overestimate
Superintendência da Zona Franca de Manaus - SUFRAMA;Superintendency of the Free Zone of Manaus - SUFRAMA
Superintendência de Seguros Privados - SUSEP;Superintendency of Private Insurance - SUSEP
Superintendência do Desenvolvimento da Amazônia - SUDAM;Superintendency for the Development of the Amazon - SUDAM
Superintendência do Desenvolvimento da Pesca - SUDEPE;Superintendency for the Development of Fishing - SUDEPE
Superintendência do Desenvolvimento do Centro-Oeste - SUDECO;Superintendency for the Development of the Central - Wex - SUDECO
Superintendência do Desenvolvimento do Nordeste - SUDENE;Superintendency for the Development of the Northeast - SUDENE
Superintendência Nacional da Marinha Mercante - SUNAMAM;National Superintendency of the Mercantile Marine - SUNAMAM
Superintendência nacional de Abastecimento e Preços - SUNAB;National Superintendency of Supply and Prices - SUNAB
Superior Tribunal de Justiça - STJ;High Court of Justice
supervisar, supervisionar;oversee, supervise
suplente;alternate
Supremo Tribunal Federal - STF;Supreme Court
suprimentos;supplies, consumable materials
suprir;furnish
suspender;"adjourn; call off"
suspensão de contrato;termination of contract, suspension of contract
swap a termo;forward swap
swap básico;basis swap
swap de câmbio;foreign exchange swap
swap de moeda;currency swap
swap de taxa básica;basis rate swap
swap de taxa de juros;interest rate swap
swaps de ações;equity swaps
swaps de commodities;commodity swaps
swaps de dívida por ações;debt swap, equity swap
swaps equilibrados (casados);matched swaps
swaps resgatáveis;callable swaps
tabela;table, scale
"tabela a valor presente; tablita";present value table
Tabela Aduaneira do Brasil - TAB;Brazilian's Customs Table
tabela de amortização, mapa de amortização;amortization schedule
Tabela de Incidência do IPI - TIPI;Table of Excise Tax Incidence
tabelião;notary public
tabulação;tabulation
talão de cheques;check book, counterfoil
tamanho adequado de uma atividade para obtenção do melhor desempenho possível;rightsizing
tamanho considerável;sizable
tamanho da amostra;sample size
tamanho da apólice;poicy size
taquigrafia;shorthand, stenography
tarefa;task
tarefa de pouca importância;low-value tasks
tarefa que demanda muito tempo;time-consuming
tarifa;duty, tariff
tarifa de importação;import tariff
Tarifa Externa Comum - TEC;Common External Tariff
tarifa preferencial;preferential tariff
tarifas caducadas;lapsed rates
tarifas de prêmios de seguros;insurance premium tariff
taxa;rate
taxa (de juros) de mercado;market rate (interest)
taxa à vista;spot rate
taxa anual;annual rate
taxa básica;basic rate
Taxa Básica do Banco Central - TBC;Central Bank Basic Interest Rate - TBC
Taxa Básica Financeira - TBF;Basic Financial Rate - TBF
taxa composta de depreciação;composite rate
taxa de adesão;adhesion fee
taxa de admissão;admission fee
taxa de câmbio;exchange rate, rate of exchange
taxa de câmbio a termo;forward rate of exchange
taxa de câmbio atual;current exchange rate
taxa de câmbio flutuante;floating rate of exchange
